A1,A2,voto,valor
CHALÁ CRUZ JOSÉ FRANKLIN,FLOR GIL BRENDA AZUCENA,113
CHALÁ CRUZ JOSÉ FRANKLIN,GARZÓN RICAURTE WILLIAM ANTONIO,105
CHALÁ CRUZ JOSÉ FRANKLIN,OCHOA MORANTE MANUEL ALFREDO,102
CHALÁ CRUZ JOSÉ FRANKLIN,ORELLANA ROMÁN ROSA GINA,109
CHALÁ CRUZ JOSÉ FRANKLIN,PLAZA CASTILLO LENIN,109
CHALÁ CRUZ JOSÉ FRANKLIN,SAMANIEGO MAIGUA FRANKLIN OMAR,96
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,VILLALVA MIRANDA LIRA DE LA PAZ,104
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,YUNDA MACHADO JORGE HOMERO,115
CHALÁ CRUZ JOSÉ FRANKLIN,ZAMBRANO VERA MARIANO,113
CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,COROZO AYOVÍ JORGE WILBER,106
CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,FLOR GIL BRENDA AZUCENA,114
CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,GARZÓN RICAURTE WILLIAM ANTONIO,101
CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,OCHOA MORANTE MANUEL ALFREDO,108
CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,ORELLANA ROMÁN ROSA GINA,108
CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,PLAZA CASTILLO LENIN,115
CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,SAMANIEGO MAIGUA FRANKLIN OMAR,111
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CANDELL SOTO JAIME ENRIQUE JIMMY,107
ARIAS RAMÍREZ ALBERTO JESÚS,MUENTES ALVARADO PABLO ANDRES,111
CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,ZAMBRANO VERA MARIANO,100
COROZO AYOVÍ JORGE WILBER,FLOR GIL BRENDA AZUCENA,109
COROZO AYOVÍ JORGE WILBER,GARZÓN RICAURTE WILLIAM ANTONIO,102
COROZO AYOVÍ JORGE WILBER,OCHOA MORANTE MANUEL ALFREDO,103
COROZO AYOVÍ JORGE WILBER,ORELLANA ROMÁN ROSA GINA,98
COROZO AYOVÍ JORGE WILBER,PLAZA CASTILLO LENIN,105
COROZO AYOVÍ JORGE WILBER,SAMANIEGO MAIGUA FRANKLIN OMAR,99
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,CASANOVA CEPEDA XAVIER IVAN,109
ARREGUI RUEDA MARCIA CECILIA,BERGMANN REYNA CARLOS ALBERTO,108
COROZO AYOVÍ JORGE WILBER,ZAMBRANO VERA MARIANO,110
FLOR GIL BRENDA AZUCENA,GARZÓN RICAURTE WILLIAM ANTONIO,103
FLOR GIL BRENDA AZUCENA,OCHOA MORANTE MANUEL ALFREDO,101
FLOR GIL BRENDA AZUCENA,ORELLANA ROMÁN ROSA GINA,103
FLOR GIL BRENDA AZUCENA,PLAZA CASTILLO LENIN,95
FLOR GIL BRENDA AZUCENA,SAMANIEGO MAIGUA FRANKLIN OMAR,98
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,GÓMEZ LOZANO RICHARD GARIS,96
CALLE VERZOZI HERMUY,CARRIÓN CEVALLOS MARÍA JOSÉ,100
FLOR GIL BRENDA AZUCENA,ZAMBRANO VERA MARIANO,105
GARZÓN RICAURTE WILLIAM ANTONIO,OCHOA MORANTE MANUEL ALFREDO,104
GARZÓN RICAURTE WILLIAM ANTONIO,ORELLANA ROMÁN ROSA GINA,111
GARZÓN RICAURTE WILLIAM ANTONIO,PLAZA CASTILLO LENIN,108
GARZÓN RICAURTE WILLIAM ANTONIO,SAMANIEGO MAIGUA FRANKLIN OMAR,102
ARREGUI RUEDA MARCIA CECILIA,REYES HIDALGO CRISTINA EUGENIA,108
ARREGUI RUEDA MARCIA CECILIA,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,101
GARZÓN RICAURTE WILLIAM ANTONIO,ZAMBRANO VERA MARIANO,103
OCHOA MORANTE MANUEL ALFREDO,ORELLANA ROMÁN ROSA GINA,101
OCHOA MORANTE MANUEL ALFREDO,PLAZA CASTILLO LENIN,111
OCHOA MORANTE MANUEL ALFREDO,SAMANIEGO MAIGUA FRANKLIN OMAR,103
ARREGUI RUEDA MARCIA CECILIA,SOLORZANO SARRIA CESAR FAUSTO,107
ARREGUI RUEDA MARCIA CECILIA,VILLAMAR JÁCOME PEDRO FABRICIO,96
OCHOA MORANTE MANUEL ALFREDO,ZAMBRANO VERA MARIANO,98
ORELLANA ROMÁN ROSA GINA,PLAZA CASTILLO LENIN,98
ORELLANA ROMÁN ROSA GINA,SAMANIEGO MAIGUA FRANKLIN OMAR,101
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,MUENTES ALVARADO PABLO ANDRES,103
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,REYES HIDALGO CRISTINA EUGENIA,100
ORELLANA ROMÁN ROSA GINA,ZAMBRANO VERA MARIANO,100
PLAZA CASTILLO LENIN,SAMANIEGO MAIGUA FRANKLIN OMAR,102
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,CUESTA CONCARI MARÍA MERCEDES,103
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,GALLARDO ARÉVALO KATTY JUDITH,108
PLAZA CASTILLO LENIN,ZAMBRANO VERA MARIANO,109
ARIAS RAMÍREZ ALBERTO JESÚS,ARREGUI RUEDA MARCIA CECILIA,103
BERGMANN REYNA CARLOS ALBERTO,ZAMBRANO CHACHA ALBERTO ALEXANDER,104
SAMANIEGO MAIGUA FRANKLIN OMAR,ZAMBRANO VERA MARIANO,94
VILLALVA MIRANDA LIRA DE LA PAZ,ZAMBRANO VALLE EDUARDO MAURICIO,104
BERGMANN REYNA CARLOS ALBERTO,GÓMEZ ALCÍVAR ROBERTO ANDRÉS,92
ARIAS RAMÍREZ ALBERTO JESÚS,CALLE VERZOZI HERMUY,102
CHICA VITERI OSWALDO AUGUSTO,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,97
CHICA VITERI OSWALDO AUGUSTO,ARIAS RAMÍREZ ALBERTO JESÚS,102
CHICA VITERI OSWALDO AUGUSTO,CASANOVA CEPEDA XAVIER IVAN,96
BERGMANN REYNA CARLOS ALBERTO,SOLORZANO SARRIA CESAR FAUSTO,95
CHICA VITERI OSWALDO AUGUSTO,CALLE VERZOZI HERMUY,101
CHICA VITERI OSWALDO AUGUSTO,CARRIÓN CEVALLOS MARÍA JOSÉ,104
CASANOVA CEPEDA XAVIER IVAN,CARRIÓN CEVALLOS MARÍA JOSÉ,105
CHICA VITERI OSWALDO AUGUSTO,SUAREZ HUAYAMAVE CARLOS ALBERTO,103
CHICA VITERI OSWALDO AUGUSTO,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,105
CHICA VITERI OSWALDO AUGUSTO,GÓMEZ LOZANO RICHARD GARIS,100
ARIAS RAMÍREZ ALBERTO JESÚS,SALAZAR CEDEÑO GUADALUPE DOLORES,100
CHICA VITERI OSWALDO AUGUSTO,SALAZAR CEDEÑO GUADALUPE DOLORES,105
CHICA VITERI OSWALDO AUGUSTO,VERA FLORES WENDY VANESSA,102
NÚÑEZ CRIOLLO JAIRO PATRICIO,PEÑA PACHECO XIMENA DEL ROCÍO,107
CHICA VITERI OSWALDO AUGUSTO,YUNDA MACHADO JORGE HOMERO,106
CHICA VITERI OSWALDO AUGUSTO,ZAMBRANO ARTEAGA JOSE RICARDO,110
CASANOVA CEPEDA XAVIER IVAN,MUENTES ALVARADO PABLO ANDRES,99
CHICA VITERI OSWALDO AUGUSTO,MUENTES ALVARADO PABLO ANDRES,101
CHICA VITERI OSWALDO AUGUSTO,REYES HIDALGO CRISTINA EUGENIA,105
CHICA VITERI OSWALDO AUGUSTO,MENDOZA PALMA JOFFRE PATRICIO,104
NÚÑEZ CRIOLLO JAIRO PATRICIO,DUCHI GUAMÁN MARÍA ENCARNACIÓN,111
CHICA VITERI OSWALDO AUGUSTO,GALLARDO ARÉVALO KATTY JUDITH,108
CASANOVA CEPEDA XAVIER IVAN,GALLARDO ARÉVALO KATTY JUDITH,101
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,ARIAS RAMÍREZ ALBERTO JESÚS,104
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,CASANOVA CEPEDA XAVIER IVAN,98
CALLE VERZOZI HERMUY,CARRIÓN CEVALLOS MARÍA JOSÉ,102
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,CALLE VERZOZI HERMUY,100
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,CARRIÓN CEVALLOS MARÍA JOSÉ,109
ARIAS RAMÍREZ ALBERTO JESÚS,GALLARDO ARÉVALO KATTY JUDITH,108
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,SUAREZ HUAYAMAVE CARLOS ALBERTO,101
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,104
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,GÓMEZ LOZANO RICHARD GARIS,100
ARREGUI RUEDA MARCIA CECILIA,CASANOVA CEPEDA XAVIER IVAN,97
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,SALAZAR CEDEÑO GUADALUPE DOLORES,93
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,VERA FLORES WENDY VANESSA,94
CALLE VERZOZI HERMUY,MUENTES ALVARADO PABLO ANDRES,108
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,YUNDA MACHADO JORGE HOMERO,107
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,ZAMBRANO ARTEAGA JOSE RICARDO,102
CALLE VERZOZI HERMUY,MENDOZA PALMA JOFFRE PATRICIO,106
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,MUENTES ALVARADO PABLO ANDRES,108
ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,REYES HIDALGO CRISTINA EUGENIA,106
